direction,date,departure,departure_ms,changes,platform,delay,duration,offer_icon,offer_header,offer_message,cheapest_single,cheap_rtn_1,cheap_rtn_2
returning,12/9/2015,10:01,36060000,0,2,,133,,,,3.20,FALSE,FALSE
returning,12/9/2015,10:15,36900000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,10:25,37500000,0,2,,124,,,,3.20,FALSE,FALSE
returning,12/9/2015,10:35,38100000,0,3,,82,,,,3.20,FALSE,FALSE
returning,12/9/2015,10:55,39300000,0,3,,85,,,,3.20,FALSE,FALSE
returning,12/9/2015,11:01,39660000,0,2,,133,,,,3.20,FALSE,FALSE
returning,12/9/2015,11:15,40500000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,11:25,41100000,0,2,,124,,,,3.20,FALSE,FALSE
returning,12/9/2015,11:35,41700000,0,3,,82,,,,3.20,FALSE,FALSE
returning,12/9/2015,11:55,42900000,0,3,,85,,,,3.20,FALSE,FALSE
returning,12/9/2015,12:01,43260000,0,2,,133,,,,3.20,FALSE,FALSE
returning,12/9/2015,12:15,44100000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,12:25,44700000,0,2,,124,,,,3.20,FALSE,FALSE
returning,12/9/2015,12:35,45300000,0,3,,82,,,,3.20,FALSE,FALSE
returning,12/9/2015,12:55,46500000,0,3,,85,,,,3.20,FALSE,FALSE
returning,12/9/2015,13:01,46860000,0,2,,133,,,,3.20,FALSE,FALSE
returning,12/9/2015,13:15,47700000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,13:25,48300000,0,2,,124,,,,3.20,FALSE,FALSE
returning,12/9/2015,13:35,48900000,0,3,,82,,,,3.20,FALSE,FALSE
returning,12/9/2015,13:55,50100000,0,3,,85,,,,3.20,FALSE,FALSE
returning,12/9/2015,14:01,50460000,0,2,,132,,,,3.20,FALSE,FALSE
returning,12/9/2015,14:15,51300000,0,3,,84,,,,3.20,FALSE,FALSE
returning,12/9/2015,14:25,51900000,0,2,,124,,,,10.00,FALSE,FALSE
returning,12/9/2015,14:35,52500000,0,3,,82,,,,25.85,FALSE,FALSE
returning,12/9/2015,14:55,53700000,0,3,,85,,,,25.85,FALSE,FALSE
returning,12/9/2015,15:01,54060000,0,2,,123,,,,10.00,FALSE,FALSE
returning,12/9/2015,15:15,54900000,0,3,,84,,,,10.00,FALSE,FALSE
returning,12/9/2015,15:25,55500000,0,2,,124,,,,20.00,FALSE,FALSE
returning,12/9/2015,15:35,56100000,0,3,,82,,,,35.00,FALSE,FALSE
returning,12/9/2015,15:55,57300000,0,3,,85,,,,51.00,FALSE,FALSE
returning,12/9/2015,16:01,57660000,0,2,,132,,,,15.00,FALSE,FALSE
returning,12/9/2015,16:06,57960000,0,2,,143,,,,14.00,FALSE,FALSE
returning,12/9/2015,16:15,58500000,0,3,,84,,,,84.00,FALSE,FALSE
returning,12/9/2015,16:35,59700000,0,3,,82,,,,84.00,FALSE,FALSE
returning,12/9/2015,16:55,60900000,0,3,,85,,,,84.00,FALSE,FALSE
returning,12/9/2015,17:02,61320000,0,2,,131,,,,24.00,FALSE,FALSE
returning,12/9/2015,17:15,62100000,0,3,,84,,,,84.00,FALSE,FALSE
returning,12/9/2015,17:25,62700000,0,2,,127,,,,24.00,TRUE,FALSE
returning,12/9/2015,17:35,63300000,0,3,,82,,,,84.00,FALSE,FALSE
returning,12/9/2015,17:36,63360000,0,2,,138,,,,24.00,TRUE,FALSE
returning,12/9/2015,17:55,64500000,0,3,,85,,,,66.00,FALSE,FALSE
returning,12/9/2015,18:01,64860000,0,2,,134,,,,24.00,TRUE,FALSE
returning,12/9/2015,18:15,65700000,0,3,,83,,,,84.00,FALSE,FALSE
returning,12/9/2015,18:25,66300000,0,2,,126,,,,24.00,TRUE,FALSE
returning,12/9/2015,18:28,66480000,0,2,,146,,,,24.00,TRUE,FALSE
returning,12/9/2015,18:35,66900000,0,3,,82,,,,84.00,FALSE,FALSE
returning,12/9/2015,18:55,68100000,0,3,,85,,,,51.00,FALSE,FALSE
returning,12/9/2015,19:04,68640000,0,2,,129,,,,24.00,FALSE,TRUE
returning,12/9/2015,19:15,69300000,0,3,,84,,,,25.85,TRUE,TRUE
returning,12/9/2015,19:19,69540000,1,3,,91,,,,25.85,FALSE,TRUE
returning,12/9/2015,19:25,69900000,0,2,,127,,,,18.00,TRUE,TRUE
returning,12/9/2015,19:35,70500000,0,3,,82,,,,25.85,FALSE,TRUE
returning,12/9/2015,19:55,71700000,0,3,,85,,,,20.00,FALSE,TRUE
returning,12/9/2015,20:01,72060000,0,2,,133,,,,14.00,TRUE,TRUE
returning,12/9/2015,20:06,72360000,0,2,,144,,,,7.50,TRUE,TRUE
returning,12/9/2015,20:15,72900000,0,3,,84,,,,15.00,FALSE,TRUE
returning,12/9/2015,20:19,73140000,1,3,,91,,,,23.00,FALSE,TRUE
returning,12/9/2015,20:35,74100000,0,3,,83,,,,15.00,FALSE,TRUE
returning,12/9/2015,20:55,75300000,0,3,,82,,,,10.00,FALSE,TRUE
returning,12/9/2015,21:01,75660000,0,2,,133,,,,6.00,TRUE,TRUE
returning,12/9/2015,21:15,76500000,0,3,,87,,,,10.00,FALSE,TRUE
returning,12/9/2015,21:22,76920000,1,2,,112,,,,17.00,FALSE,TRUE
returning,12/9/2015,21:25,77100000,0,2,,129,,,,6.00,TRUE,TRUE
returning,12/9/2015,21:55,78900000,0,3,,93,,,,10.00,FALSE,TRUE
returning,12/9/2015,22:01,79260000,0,2,,135,,,,6.00,TRUE,TRUE
returning,12/9/2015,22:12,79920000,1,2,,124,,,,17.00,FALSE,TRUE
returning,12/9/2015,22:42,81720000,0,2,,122,,,,7.50,FALSE,TRUE
returning,12/9/2015,23:42,85320000,0,2,,126,,,,10.00,FALSE,TRUE
